fecha,proveedor,razon_social,cuenta,documento,concepto,moneda,monto,categoria,fuente
2024-12-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8725373700912259-8801611326621834,"Publicidad online - Dec 10, 2024",USD,2.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8820517998064494-8749950161787950,"Publicidad online - Dec 10, 2024",USD,2.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),9098723876910579-8954903354625961,"Publicidad online - Dec 10, 2024",USD,2.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-11,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8841866892596278-8841866899262944,"Publicidad online - Dec 10, 2024",USD,2.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-11,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8940854656030829-9099135213536112,"Publicidad online - Dec 10, 2024",USD,2.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-15,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8835666656549636-8844168499032777,"Publicidad online - Dec 13 - Dec 14, 2024",USD,15.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-17,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8881426795306954-8829513307164966,"Publicidad online - Dec 14 - Dec 17, 2024",USD,17.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-18,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8767860156663613-9141366779312955,"Publicidad online - Dec 17 - Dec 18, 2024",USD,19.00,publicidad_online,artifact:recibos-meta-anthropic
2024-12-19,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8849064538543179-8849064541876512,"Publicidad online - Dec 17 - Dec 18, 2024",USD,21.00,publicidad_online,artifact:recibos-meta-anthropic
2025-01-09,meta,"Meta Platforms, Inc.",ALCOVER ADS,9094650903981479-8876353955811172,"Publicidad online - Dec 9, 2024",USD,1.45,publicidad_online,artifact:recibos-meta-anthropic
2025-01-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),8895290437253917-9010836585699307,"Publicidad online - Dec 17 - Dec 19, 2024",USD,10.86,publicidad_online,artifact:recibos-meta-anthropic
2025-10-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),24812897965066581-24812898028399908,"Publicidad online - Oct 9, 2025",USD,3.01,publicidad_online,artifact:recibos-meta-anthropic
2025-10-18,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),25203650975991279-24805209942502045,"Publicidad online - Oct 10 - Oct 18, 2025",USD,24.00,publicidad_online,artifact:recibos-meta-anthropic
2025-10-22,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),24938526682503702-24938526752503695,"Publicidad online - Oct 18 - Oct 21, 2025",USD,27.00,publicidad_online,artifact:recibos-meta-anthropic
2025-10-25,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),25099170873105950-24915696181453424,"Publicidad online - Oct 21 - Oct 25, 2025",USD,30.00,publicidad_online,artifact:recibos-meta-anthropic
2025-10-28,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),24992199030469808-24949424811413894,"Publicidad online - Oct 24 - Oct 28, 2025",USD,33.00,publicidad_online,artifact:recibos-meta-anthropic
2025-11-01,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),24984413651248343-24984413701248338,"Publicidad online - Oct 28 - Nov 1, 2025",USD,36.00,publicidad_online,artifact:recibos-meta-anthropic
2025-11-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),25430522186637489-25130815609941474,"Publicidad online - Nov 1 - Nov 4, 2025",USD,33.75,publicidad_online,artifact:recibos-meta-anthropic
2025-11-24,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),25560093790346994-25260625700293797,"Publicidad online - Nov 11 - Nov 19, 2025",USD,39.07,publicidad_online,artifact:recibos-meta-anthropic
2025-11-30,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),25317183941304645-25440530712303296,"Publicidad online - Nov 24 - Nov 30, 2025",USD,39.00,publicidad_online,artifact:recibos-meta-anthropic
2025-12-10,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),25293622830327418-25520917427597957,"Publicidad online - Nov 30 - Dec 4, 2025",USD,17.19,publicidad_online,artifact:recibos-meta-anthropic
2025-12-22,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),SPLIT-2025-12-22a,Publicidad online - split payment,USD,3.21,publicidad_online,artifact:recibos-meta-anthropic
2025-12-22,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),SPLIT-2025-12-22b,Publicidad online - split payment,USD,5.12,publicidad_online,artifact:recibos-meta-anthropic
2025-12-22,meta,"Meta Platforms, Inc.",INSTAGRAM (personal),SPLIT-2025-12-22c,Publicidad online - split payment,USD,10.24,publicidad_online,artifact:recibos-meta-anthropic
